"Monday","Maandag"
"Tuesday","Dinsdag"
"Wednesday","Woensdag"
"Thursday","Donderdag"
"Friday","Vrijdag"
"Saturday","Zaterdag"
"Sunday","Zondag"
"January","Januari"
"February","Februari"
"March","Maart"
"April","April"
"May","Mei"
"June","Juni"
"July","Juli"
"August","Augustus"
"September","September"
"October","Oktober"
"November","November"
"December","December"
"# of Items","# Items"
"%s label(s) have been generated and statuses have been changed.","%s label(s) gegenereerd en statussen gewijzigd."
"%s orders already had downloaded labels.","Voor %s order(s) zijn de labels reeds gedownload."
"(extra cost Saturday delivery: %s EUR)","(extra kost zaterdaglevering: %s EUR)"
"A previous version of the bpost extension was detected!","Een oudere versie van de bpost extensie werd gedetecteerd!"
"Action","Actie"
"Actions","Acties"
"All bposts orders","Alle bpost orders"
"An error occurred while importing table rates.","Er heeft zich een fout voorgedaan bij het importeren van de prijzen."
"Barcode #","Barcode #"
"Bill to Name","Facturatie aan"
"Bpost Shipping Manager is a service offered by Bpost","bpost Shipping Manager is een dienst aangeboden door bpost"
"By using this option","Door deze optie te gebruiken"
"Click here for more information","Klik hier voor meer informatie"
"Click here to change the bpost parcel locker point.","Klik hier om de pakjesautomaat te wijzigen."
"Click here to change the bpost pick-up point.","Klik hier om het afhaalpunt te wijzigen."
"Click here to choose a bpost parcel locker point.","Klik hier om een bpost pakjesautomaat te kiezen."
"Click here to choose a bpost pick-up point.","Klik hier om een bpost afhaalpunt te kiezen."
"Click here to track your bpost shipments.","Klik hier om uw bpost zendingen te volgen."
"Closed","Gesloten"
"Country","Land"
"Date Created","Creatiedatum"
"Delivery Date","Leveringsdatum"
"Delivery at home or at the office","Levering thuis of op kantoor"
"Delivery in a parcel locker","Levering in een pakjesautomaat"
"Delivery in a pick-up point or postal office","Levering in een afhaalpunt"
"Displays calculated delivery date in the frontend:","De berekende leveringsdatum wordt getoond in de frontend:"
"Download","Download"
"Download all undownloaded","Download verzendetiketten"
"Download bpost label","Download bpost verzendetiket"
"Drop date","Dropdatum"
"Duplicate Row #%s (Country ","Duplicate rij #%s (Land "
"Email","Email"
"Error creating bpost order","Fout bij het aanmaken van bpost order"
"Error while creating a bpost order for Magento order #%s. Please check your API log.","Fout bij aanmaken bpost order voor Magento order #%s. Gelieve de API log na te kijken."
"Example","Voorbeeld"
